8/6 21:34:19.958  SPELL_DAMAGE,0x0000000000005474,"Siberianwolf",0x518,0xF1300A2D2D00009D,"Azeroth Execute Training Dummy",0x10a28,276075,"Fel Infused Attack",0x24,170,0,36,0,0,0,nil,nil,nil
8/6 21:34:19.958  SPELL_HEAL,0x0000000000005474,"Siberianwolf",0x518,0x0000000000005474,"Siberianwolf",0x518,20167,"Seal of Light",0x2,9,9,0,nil
8/6 21:34:19.958  SPELL_PERIODIC_HEAL,0x0000000000005474,"Siberianwolf",0x518,0x0000000000005474,"Siberianwolf",0x518,50475,"Blood Presence",0x1,18,18,0,nil
8/6 21:34:19.958  SPELL_DAMAGE,0x0000000000005474,"Siberianwolf",0x518,0xF1300A2D2D00009D,"Azeroth Execute Training Dummy",0x10a28,276075,"Fel Infused Attack",0x24,174,0,36,0,0,0,nil,nil,nil
8/6 21:34:20.049  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC256000020,"Dynamic Training Dummy",0xa28,284788,"Absolute Hellfire",0x4,641,0,4,0,0,0,1,nil,nil
8/6 21:34:20.049  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC256000020,"Dynamic Training Dummy",0xa28,284788,"Absolute Hellfire",0x4,641,0,4,0,0,0,1,nil,nil
8/6 21:34:20.049  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC256000021,"Dynamic Training Dummy",0xa28,284788,"Absolute Hellfire",0x4,335,0,4,0,0,0,nil,nil,nil
8/6 21:34:20.049  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC256000022,"Dynamic Training Dummy",0xa28,284788,"Absolute Hellfire",0x4,641,0,4,0,0,0,1,nil,nil
8/6 21:34:20.049  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC256000021,"Dynamic Training Dummy",0xa28,284788,"Absolute Hellfire",0x4,641,0,4,0,0,0,1,nil,nil
8/6 21:34:20.049  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC256000022,"Dynamic Training Dummy",0xa28,284788,"Absolute Hellfire",0x4,335,0,4,0,0,0,nil,nil,nil
